"","rank","name","hw1","hw2","hw3","hw4","final","overall","pass"
"19",1,"Ada",78,82,68,88,47,72.6,TRUE
"35",2,"Juliette",50,54,92,92,74,72.4,TRUE
"25",3,"Samiha",60,67,78,90,67,72.4,TRUE
"64",4,"Marni",99,67,64,44,83,71.4,TRUE
"32",5,"Crystal",59,61,80,93,61,70.8,TRUE
"37",6,"Nazim",74,64,81,96,38,70.6,TRUE
"10",7,"Shania",78,60,26,86,98,69.6,TRUE
"21",8,"Skyla",98,95,38,90,26,69.4,TRUE
"20",9,"Evie",54,98,56,76,63,69.4,TRUE
"84",10,"Macey",52,94,79,73,44,68.4,TRUE
"39",11,"Rome",96,35,75,33,95,66.8,TRUE
"7",12,"Xena",69,54,99,45,67,66.8,TRUE
"98",13,"Ayla",54,78,37,66,97,66.4,TRUE
"57",14,"Scarlet",85,73,86,13,65,64.4,TRUE
"36",15,"Kalum",85,56,63,89,13,61.2,TRUE
"99",16,"Cassia",36,75,82,99,9,60.2,TRUE
"59",17,"Rochelle",19,78,63,82,59,60.2,TRUE
"58",18,"Courtney",65,38,95,77,25,60,TRUE
"66",19,"Saba",39,50,73,93,44,59.8,FALSE
"38",20,"Fahad",42,70,92,79,16,59.8,FALSE
"4",21,"Lee",79,1,79,44,93,59.2,FALSE
"54",22,"Horace",95,74,22,94,10,59,FALSE
"24",23,"Vinay",27,91,86,60,31,59,FALSE
"53",24,"Darnell",37,9,70,99,78,58.6,FALSE
"30",25,"Melody",54,97,92,25,25,58.6,FALSE
"34",26,"Eden",65,44,63,33,80,57,FALSE
"93",27,"Isra",63,91,69,26,33,56.4,FALSE
"62",28,"Roberto",50,93,26,88,22,55.8,FALSE
"85",29,"Mai",35,46,64,50,84,55.8,FALSE
"68",30,"Kanye",26,95,72,55,31,55.8,FALSE
"15",31,"Lenny",26,34,84,90,44,55.6,FALSE
"18",32,"Aniela",7,85,59,41,85,55.4,FALSE
"96",33,"Mariella",49,78,63,14,71,55,FALSE
"80",34,"Eleni",28,72,32,57,84,54.6,FALSE
"40",35,"Berat",72,81,63,23,32,54.2,FALSE
"90",36,"Kimberly",84,55,12,64,54,53.8,FALSE
"52",37,"Dion",65,17,45,73,68,53.6,FALSE
"8",38,"Lennox",18,59,31,90,69,53.4,FALSE
"16",39,"Alan",49,66,29,64,58,53.2,FALSE
"55",40,"Beverley",43,89,39,18,75,52.8,FALSE
"61",41,"Kaira",82,20,78,33,49,52.4,FALSE
"41",42,"Janice",26,87,6,77,65,52.2,FALSE
"77",43,"Ebony",64,2,34,85,75,52,FALSE
"12",44,"Kristin",7,29,75,60,88,51.8,FALSE
"43",45,"Ivie",53,56,67,44,35,51,FALSE
"9",46,"Aditi",36,80,15,59,65,51,FALSE
"67",47,"Abu",25,72,66,43,46,50.4,FALSE
"97",48,"Susannah",46,42,41,74,48,50.2,FALSE
"70",49,"Aman",79,71,88,7,6,50.2,FALSE
"2",50,"Archibald",84,24,19,98,26,50.2,FALSE
"56",51,"Nela",55,27,53,80,34,49.8,FALSE
"5",52,"Shaurya",48,41,35,54,71,49.8,FALSE
